line_item_id,event_date_local,impressions,clicks,media_cost_usd,billing_month
LI-5010,2026-05-07,35506,56,134.78,2026-05
LI-5008,2026-06-06,13985,26,33.77,2026-06
LI-5101,2026-06-05,8865,6,30.89,2026-06
LI-5002,2026-04-25,10778,7,29.87,2026-04
LI-5002,2026-04-30,6337,7,11.37,2026-04
LI-5006,2026-04-24,-35485,31,139.53,2026-04
LI-5015,2026-04-30,11131,19,32.12,2026-05
LI-5008,2026-04-16,9983,10,38.45,2026-04
LI-5001,2026-05-22,52709,73,198.4,2026-05
LI-5103,2026-04-25,5455,11,14.5,2026-04
LI-5005,2026-05-31,6039,10,11.58,2026-06
LI-5103,2026-05-12,3999,3,10.81,2026-05
LI-5001,2026-05-04,41887,17,117.65,2026-05
LI-5004,2026-06-23,41701,69,137.09,2026-06
LI-5103,2026-05-11,4202,5,8.93,2026-05
LI-5010,2026-06-24,30041,37,112.92,2026-06
LI-5008,2026-06-10,8663,12,24.91,2026-06
LI-5006,2026-04-07,33378,33,96.83,2026-04
LI-5103,2026-06-03,3129,3,9.2,2026-06
LI-5007,2026-06-20,14961,18,43.01,2026-06
LI-5009,2026-05-15,23924,24,85.15,2026-05
LI-5012,2026-06-05,19397,12,40.76,2026-06
LI-5003,2026-05-25,14826,21,39.31,2026-05
LI-5103,2026-05-18,3732,5,6.12,2026-05
LI-5101,2026-05-26,4994,8,14.4,2026-05
LI-5012,2026-05-17,23786,37,59.43,2026-05
LI-5012,2026-06-15,25270,34,99.45,2026-06
LI-5004,2026-04-16,32321,37,68.83,2026-04
LI-5101,2026-05-28,9767,10,29.11,2026-05
LI-5005,2026-05-24,1511,1,6.14,2026-05
LI-5104,2026-04-22,3260,2,7.89,2026-04
LI-5007,2026-06-23,14298,15,24.63,2026-06
LI-5002,2026-04-27,9372,10,30.24,2026-04
LI-5006,2026-04-21,68709,133,287.17,2026-04
LI-5011,2026-06-08,6261,6,21.08,2026-06
LI-5003,2026-04-10,15311,15,49.17,2026-04
LI-5006,2026-04-28,60451,27,125.02,2026-04
LI-5102,2026-05-18,5562,11,9.73,2026-05
LI-5105,2026-04-24,5326,3,12.91,2026-04
LI-5008,2026-05-17,8486,10,27.15,2026-05
LI-5002,2026-05-29,10622,17,22.89,2026-05
LI-5103,2026-06-16,4466,3,16.07,2026-06
LI-5005,2026-06-02,8099,13,22.97,2026-06
LI-5005,2026-05-11,6740,9,19.83,2026-05
LI-5016,2026-06-02,36274,52,147.1,2026-06
LI-5014,2026-04-04,12371,15,49.59,2026-04
LI-5015,2026-06-08,11867,19,42.64,2026-06
LI-5014,2026-05-28,7763,4,16.09,2026-05
LI-5106,2026-06-10,7956,9,22.22,2026-06
LI-5005,2026-06-03,7253,6,13.74,2026-06
LI-5005,2026-04-07,8171,16,32.52,2026-04
LI-5009,2026-06-07,24558,24,66.8,2026-06
LI-5007,2026-05-12,12711,7,26.23,2026-05
LI-5009,2026-05-10,9047,16,37.86,2026-05
LI-5012,2026-06-19,22893,20,54.53,2026-06
LI-5011,2026-05-15,7124,8,11.56,2026-05
LI-5014,2026-04-01,14656,7,26.21,2026-04
LI-5007,2026-04-03,8976,14,26.06,2026-04
LI-5007,2026-06-04,12376,11,23.63,2026-06
LI-5003,2026-04-13,14071,11,29.75,2026-04
LI-5011,2026-04-20,8425,3,16.85,2026-04
LI-5008,2026-05-23,10295,18,40.02,2026-05
LI-5001,2026-06-26,40924,22,115.84,2026-06
LI-5004,2026-06-20,34219,18,120.33,2026-06
LI-5011,2026-06-05,7013,3,28.26,2026-06
LI-5106,2026-06-30,9568,5,26.38,2026-06
LI-5006,2026-04-10,35283,57,133.1,2026-04
LI-5106,2026-06-27,11714,7,34.23,2026-06
LI-5102,2026-04-03,5796,8,13.25,2026-04
LI-5016,2026-06-09,28330,35,79.9,2026-06
LI-5006,2026-06-02,61527,94,237.06,2026-06
LI-5106,2026-04-18,10500,9,19.11,2026-04
LI-5006,2026-04-09,56341,117,165.74,2026-04
LI-5002,2026-05-19,9236,16,36.54,2026-05
LI-5102,2026-05-27,5784,4,10.06,2026-05
LI-5004,2026-04-20,25547,21,79.55,2026-04
LI-5007,2026-06-27,18054,24,59.37,2026-06
LI-5011,2026-05-04,7611,6,26.81,2026-05
LI-5007,2026-06-10,14030,29,49.35,2026-06
LI-5007,2026-05-03,14903,12,44.93,2026-05
LI-5001,2026-04-16,34455,27,81.48,2026-04
LI-5002,2026-06-05,10633,18,30.49,2026-06
LI-5012,2026-05-29,19631,12,77.45,2026-05
LI-5105,2026-04-25,3888,4,6.82,2026-04
LI-5003,2026-05-11,13123,23,54.79,2026-05
LI-5001,2026-04-13,52650,99,166.32,2026-04
LI-5105,2026-05-20,7260,8,15.35,2026-05
LI-5012,2026-04-08,10404,15,26.14,2026-04
LI-5012,2026-05-01,24522,44,101.84,2026-05
LI-5007,2026-05-16,10387,16,38.75,2026-05
LI-5009,2026-04-26,28544,38,56.33,2026-04
LI-5005,2026-05-23,6250,2,16.71,2026-05
LI-5004,2026-04-21,37109,41,134.44,2026-04
LI-5006,2026-04-26,50884,92,105.97,2026-04
LI-5003,2026-06-24,18965,9,76.21,2026-06
LI-5013,2026-04-01,7244,11,20.16,2026-04
LI-5007,2026-05-24,13118,20,44.99,2026-05
LI-5005,2026-04-05,4982,2,12.66,2026-04
LI-5009,2026-04-07,30127,44,79.28,2026-04
LI-5011,2026-04-22,8126,13,16.31,2026-04
LI-5102,2026-04-07,7328,10,28.21,2026-04
LI-5011,2026-06-07,5590,2,19.65,2026-06
LI-5002,2026-05-21,11543,18,22.37,2026-05
LI-5102,2026-05-06,6605,11,19.81,2026-05
LI-5012,2026-06-12,19405,12,52.62,2026-06
LI-5002,2026-06-30,12665,13,51.77,2026-06
LI-5011,2026-04-19,9299,18,24.87,2026-04
LI-5012,2026-06-26,17218,18,37.94,2026-06
LI-5004,2026-04-27,25202,21,85.21,2026-04
LI-5006,2026-06-12,28470,30,71.94,2026-06
LI-5014,2026-06-21,16107,15,26.69,2026-06
LI-5013,2026-06-20,5543,2,16.02,2026-06
LI-5009,2026-04-29,24772,25,56.35,2026-04
LI-5015,2026-05-28,11842,15,37.48,2026-05
LI-5103,2026-04-23,3611,5,13.01,2026-04
LI-5101,2026-06-23,9982,6,30.72,2026-06
LI-5003,2026-06-27,19449,27,34.08,2026-06
LI-5106,2026-05-31,7189,3,16.28,2026-05
LI-5008,2026-04-25,6673,13,25.74,2026-04
LI-5101,2026-05-21,5955,3,12.42,2026-05
LI-5106,2026-04-10,6934,6,12.64,2026-04
LI-5015,2026-04-01,10330,15,31.31,2026-04
LI-5014,2026-06-13,9314,5,28.56,2026-06
LI-5104,2026-05-28,3706,6,13.98,2026-05
LI-5013,2026-04-04,6138,5,17.47,2026-04
LI-5002,2026-05-06,8667,3,32.56,2026-05
LI-5009,2026-06-05,25138,39,51.81,2026-06
LI-5001,2026-05-18,46899,49,84.1,2026-05
LI-5004,2026-06-29,21606,28,75.07,2026-06
LI-5009,2026-06-14,16710,18,68.56,2026-06
LI-5014,2026-04-05,5655,8,19.19,2026-04
LI-5009,2026-05-22,14206,25,51.09,2026-05
LI-5013,2026-06-29,3817,3,15.07,2026-06
LI-5106,2026-06-28,9828,14,18.5,2026-06
LI-5015,2026-06-12,11809,14,35.27,2026-06
LI-5011,2026-04-08,6681,9,12.94,2026-04
LI-5003,2026-05-19,17644,12,49.06,2026-05
LI-5101,2026-04-29,10343,4,22.47,2026-04
LI-5011,2026-06-25,4650,4,15.59,2026-06
LI-5002,2026-06-25,10139,4,41.78,2026-06
LI-5002,2026-05-13,7469,5,12.16,2026-05
LI-5014,2026-06-15,10653,11,27.66,2026-06
LI-5002,2026-05-16,11361,11,38.78,2026-05
LI-5011,2026-04-06,9836,17,23.45,2026-04
LI-5015,2026-04-07,12237,17,51.29,2026-04
LI-5014,2026-06-17,15856,23,33.94,2026-06
LI-5007,2026-06-12,10014,19,40.08,2026-06
LI-5101,2026-04-23,6574,9,20.47,2026-04
LI-5010,2026-05-14,35322,32,57.25,2026-05
LI-5005,2026-04-22,4083,4,16.2,2026-04
LI-5104,2026-06-19,2278,4,9.18,2026-06
LI-5004,2026-05-14,23888,18,64.58,2026-05
LI-5015,2026-06-24,10063,6,18.62,2026-06
LI-5015,2026-05-02,13710,28,46.03,2026-05
LI-5006,2026-04-12,44018,64,93.08,2026-04
LI-5007,2026-06-11,13137,17,52.17,2026-06
LI-5103,2026-05-15,4586,8,11.23,2026-05
LI-5104,2026-06-29,2680,3,6.72,2026-06
LI-5002,2026-06-15,12813,16,30.17,2026-06
LI-5007,2026-06-13,14332,10,54.98,2026-06
LI-5006,2026-06-29,77013,121,311.0,2026-06
LI-5106,2026-05-26,8105,16,18.07,2026-05
LI-5008,2026-05-02,7363,8,14.97,2026-05
LI-5004,2026-04-11,37181,30,110.08,2026-04
LI-5013,2026-04-25,5438,5,9.62,2026-04
LI-5013,2026-05-06,3499,3,14.14,2026-05
LI-5102,2026-04-08,7028,6,15.84,2026-04
LI-5103,2026-04-21,3948,5,7.64,2026-04
LI-5005,2026-05-02,7156,12,26.1,2026-05
LI-5012,2026-05-28,18884,12,50.51,2026-05
LI-5999,2026-04-07,20194,9,84.23,2026-04
LI-5011,2026-05-05,6495,5,16.6,2026-05
LI-5001,2026-06-11,50294,44,149.91,2026-06
LI-5001,2026-04-27,53078,25,136.74,2026-04
LI-5015,2026-05-30,7976,15,29.1,2026-05
LI-5103,2026-05-28,4519,3,18.89,2026-05
LI-5010,2026-06-15,27548,34,78.43,2026-06
LI-5009,2026-04-28,20893,16,59.62,2026-04
LI-5008,2026-04-28,10797,11,18.96,2026-04
LI-5011,2026-06-27,6756,10,17.63,2026-06
LI-5011,2026-05-25,8673,7,31.82,2026-05
LI-5015,2026-05-23,9994,17,39.49,2026-05
LI-5013,2026-04-12,4758,8,14.29,2026-04
LI-5007,2026-05-11,10879,20,18.28,2026-05
LI-5003,2026-05-06,16671,12,29.73,2026-05
LI-5007,2026-04-11,11744,23,21.04,2026-04
LI-5102,2026-06-22,7201,9,14.42,2026-06
LI-5003,2026-04-05,10803,7,34.64,2026-04
LI-5104,2026-04-21,3311,5,6.02,2026-04
LI-5007,2026-04-07,13506,27,53.06,2026-04
LI-5999,2026-04-14,34949,62,110.77,2026-04
LI-5011,2026-05-26,7747,8,29.72,2026-05
LI-5104,2026-05-21,3222,3,5.32,2026-05
LI-5101,2026-05-20,8430,16,28.27,2026-05
LI-5103,2026-05-03,3810,3,7.09,2026-05
LI-5005,2026-05-06,6995,5,18.86,2026-05
LI-5105,2026-04-03,6750,13,22.35,2026-04
LI-5009,2026-05-23,21306,44,39.68,2026-05
LI-5003,2026-04-27,10836,9,20.07,2026-04
LI-5007,2026-05-25,12296,24,23.78,2026-05
LI-5001,2026-04-05,45630,65,95.1,2026-04
LI-5101,2026-04-25,6949,13,23.3,2026-04
LI-5101,2026-06-01,9939,13,39.54,2026-06
LI-5007,2026-04-01,16648,31,31.86,2026-04
LI-5013,2026-04-14,-5283,4,11.44,2026-04
LI-5015,2026-06-06,13920,6,40.11,2026-06
LI-5007,2026-04-12,13747,26,22.24,2026-04
LI-5007,2026-06-09,11568,7,36.11,2026-06
LI-5016,2026-06-27,21155,15,82.53,2026-06
LI-5102,2026-06-02,7391,4,16.94,2026-06
LI-5103,2026-04-16,2858,1,5.28,2026-04
LI-5106,2026-05-24,7648,6,13.48,2026-05
LI-5106,2026-05-15,5775,4,15.98,2026-05
LI-5013,2026-05-28,5572,4,20.49,2026-05
LI-5005,2026-05-26,5993,6,18.26,2026-05
LI-5010,2026-04-10,40428,23,84.33,2026-04
LI-5001,2026-04-08,48886,72,153.9,2026-04
LI-5009,2026-05-16,31772,29,93.32,2026-05
LI-5106,2026-04-21,8466,9,25.61,2026-04
LI-5104,2026-06-09,2791,3,9.8,2026-06
LI-5009,2026-04-21,24586,43,48.73,2026-04
LI-5009,2026-06-23,21311,30,83.28,2026-06
LI-5015,2026-06-22,12075,12,32.4,2026-06
LI-5015,2026-06-21,10314,9,16.9,2026-06
LI-5006,2026-04-16,54543,55,152.93,2026-04
LI-5103,2026-06-05,4868,6,17.77,2026-06
LI-5015,2026-05-20,9370,14,22.09,2026-05
LI-5011,2026-05-19,7399,10,18.93,2026-05
LI-5008,2026-05-15,7818,10,17.83,2026-05
LI-5999,2026-04-20,25547,21,79.55,2026-04
LI-5999,2026-04-04,25382,11,50.94,2026-04
LI-5003,2026-06-04,12745,12,35.93,2026-06
LI-5103,2026-04-22,5017,7,15.83,2026-04
LI-5002,2026-04-28,10995,13,26.61,2026-04
LI-5010,2026-04-04,51951,49,155.65,2026-04
