line_item_id,campaign_id,pricing_model,rate,contracted_impressions,discount_pct,flight_start,flight_end
LI-5001,CMP-3001,CPM,8.5,4000000.0,0.1,2026-04-01,2026-06-30
LI-5002,CMP-3001,CPM,12.0,1500000.0,,2026-04-01,2026-06-30
LI-5003,CMP-3002,CPM,6.75,2200000.0,5.0,2026-04-01,2026-06-30
LI-5004,CMP-3003,CPM,9.25,3000000.0,,2026-04-01,2026-06-30
LI-5005,CMP-3003,CPM,11.0,900000.0,0.15,2026-04-01,2026-06-30
LI-5006,CMP-3004,CPM,7.4,5000000.0,,2026-04-01,2026-06-30
LI-5007,CMP-3005,CPM,14.0,1200000.0,0.05,2026-04-01,2026-06-30
LI-5008,CMP-3006,CPM,15.5,800000.0,,2026-04-01,2026-06-30
LI-5009,CMP-3007,CPM,10.25,2500000.0,12.0,2026-04-01,2026-06-30
LI-5010,CMP-3008,CPM,13.0,3500000.0,,2026-04-01,2026-06-30
LI-5011,CMP-3008,CPM,9.0,1000000.0,0.2,2026-04-01,2026-06-30
LI-5012,CMP-3009,CPM,8.0,1800000.0,,2026-04-01,2026-06-30
LI-5013,CMP-3010,CPM,16.0,600000.0,,2026-04-01,2026-06-30
LI-5014,CMP-3002,CPM,7.25,1400000.0,,2026-04-01,2026-06-30
LI-5015,CMP-3005,CPM,12.5,1000000.0,,2026-04-01,2026-06-30
LI-5101,CMP-3001,FLAT_FEE,25000.0,,,2026-04-01,2026-06-30
LI-5102,CMP-3004,FLAT_FEE,18000.0,,,2026-04-01,2026-06-30
LI-5103,CMP-3007,FLAT_FEE,40000.0,,0.1,2026-04-01,2026-06-30
LI-5104,CMP-3010,FLAT_FEE,12500.0,,,2026-04-01,2026-06-30
LI-5105,,CPM,10.5,1100000.0,,2026-04-01,2026-06-30
LI-5106,,FLAT_FEE,9000.0,,,2026-04-01,2026-06-30
LI-5016,CMP-3009,CPM,9.5,2000000.0,,2026-06-01,2026-07-31
